ACCE_ABSORB_COST	Aufnahmepreis: %d
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Donnerberge
MAP_MT_TH_DUNGEON_01	Tempel der Ochao
MAP_NUSLUCK	Land d. Riesen
MAP_NUSLUCK01	Land der Riesen
MAP_N_DESERT_01	Yongbi-Wüste
MAP_N_DESERT_02	None6
MAP_N_FLAME_01	Feuerland
MAP_N_FLAME_02	None5
MAP_N_FLAME_DRAGON	Meleys Hort
MAP_N_FLAME_DUNGEON_01	Rotdrachenfestung
MAP_N_SNOWM_01	Berg Sohan
MAP_N_SNOWM_02	None4
MAP_N_SNOW_DUNGEON_01	Nemeres Warte
MAP_N_THREEWAY	Tal von Seungryong
MAP_OXEVENT	OX-Wettbewerb
MAP_PATHWAY_DESERT_01	Reichsschlacht-Wüstenland
MAP_PATHWAY_DESERT_02	Reichsschlacht-Wüstenland
MAP_PATHWAY_DESERT_03	Reichsschlacht-Wüstenland
MAP_PATHWAY_FLAME_01	Reichsschlacht-Feuerland
MAP_PATHWAY_FLAME_02	Reichsschlacht-Feuerland
MAP_PATHWAY_FLAME_03	Reichsschlacht-Feuerland
MAP_PATHWAY_ICE_01	Reichsschlacht-Eisland
MAP_PATHWAY_ICE_02	Spielplatz
MAP_PATHWAY_ICE_03	Reichsschlacht-Eisland
MAP_SKELTOWER	Gumsan-Turm
MAP_SKIPIA_DUNGEON_01	Grotte der Verbannung
MAP_SKIPIA_DUNGEON_011	None10
MAP_SKIPIA_DUNGEON_012	None12
MAP_SKIPIA_DUNGEON_013	None14
MAP_SKIPIA_DUNGEON_02	Grotte der Verbannung 2
MAP_SKIPIA_DUNGEON_021	None11
MAP_SKIPIA_DUNGEON_022	None13
MAP_SKIPIA_DUNGEON_023	None15
MAP_SKIPIA_DUNGEON_BOSS	Drachenraum
MAP_SKIPIA_DUNGEON_BOSS_1	Spinnendungeon 1
MAP_SKIPIA_DUNGEON_BOSS_2	Spinnendungeon 2
MAP_SKIPIA_DUNGEON_BOSS_3	Spinnendungeon 3
MAP_SNOW	Berg Sohan
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Spinnendungeon 1
MAP_SPIDERDUNGEON_02	Spinnendungeon 2
MAP_SPIDERDUNGEON_02_1	Spinnendungeon 2
MAP_SPIDERDUNGEON_03	Spinnendungeon 3
MAP_SUNGMAHEE_TOWER_DUNGEON	Sung Mahis Höllenturm
MAP_SUNGMAHEE_TOWER_WAIT	Eingangshalle
MAP_SUNGZI	Reichsschlacht
MAP_SUNGZI_DESERT_01	Reichsschlacht-Wüstenland
MAP_SUNGZI_DESERT_HILL_01	Reichsschlacht-Wüstenland
MAP_SUNGZI_DESERT_HILL_02	Reichsschlacht-Wüstenland
MAP_SUNGZI_DESERT_HILL_03	Reichsschlacht-Wüstenland
MAP_SUNGZI_FLAME_HILL_01	Reichsschlacht-Feuerland
MAP_SUNGZI_FLAME_HILL_02	Reichsschlacht-Feuerland
MAP_SUNGZI_FLAME_HILL_03	Reichsschlacht-Feuerland
MAP_SUNGZI_SNOW	Reichsschlacht-Eisland
MAP_SUNGZI_SNOW_PASS01	Reichsschlacht-Eisland
MAP_SUNGZI_SNOW_PASS02	Reichsschlacht-Eisland
MAP_SUNGZI_SNOW_PASS03	Reichsschlacht-Eisland
MAP_T1	Gildenkrieg-Gelände
MAP_T2	Gildenkrieg-Gelände
MAP_T3	Gildenkrieg-Gelände
MAP_T4	Gildenkrieg-Gelände
MAP_TEMPLE	Hwang-Tempel
MAP_THUNDER	Donnerberge
MAP_TREE	Lungsam
MAP_TRENT	Geisterwald
MAP_TRENT02	Roter Wald
MAP_TRENT02_A	Roter Wald
MAP_TRENT_A	None9
MAP_WEDDING_01	Hochzeitsmap
MAP_WL	Schlangenfeld
MAP_WL_01	Schlangenfeld
MC_ACCUMULATION_COUNT	Gesammelte Monsterkarten: %d
MC_ACHIEV_NAME	%s (%d)
MC_ACHIEV_REGIST_ABLE	Du erfüllst die Voraussetzungen für den Erfolg %s (%d Sterne).
MC_ACHIEV_REGIST_FAIL	Du kannst gerade keinen Erfolg einfordern.
MC_ACHIEV_REGIST_FAIL_CHECK_COUNT	Du kannst den Erfolg nicht einfordern. Schließe das Fenster und versuche es erneut.
MC_ACHIEV_REGIST_QUESTION_1	Möchtest du den Erfolg %s einfordern? Du benötigst dazu %d Karten der jeweiligen Monster.
MC_ACHIEV_REGIST_QUESTION_2	Deine Wahl kann nicht rückgängig gemacht werden. Möchtest du fortfahren?
MC_ACHIEV_SHOW_APPLYS	Status anzeigen
MC_ACHIEV_SHOW_MONSTER	Bild anzeigen
MC_ALTER_TEXT	Missionsstufe %d
MC_CARD_FALL_SHORT	Die registrierten Karten reichen nicht aus.
MC_CARD_SHUFFLE	Möchtest du die Karten neu anordnen?
MC_INIT_ITEM_FALL_SHORT	Du brauchst %d Karte(n) des Neuanfangs.
MC_MISSION_FAIL_MSG	Keine Mission aktiv oder Limit überschritten.
MC_MISSION_INIT	Möchtest du die Mission auf Stufe 1 zurücksetzen?
MC_MISSION_NO_CLEAR	Du musst zuerst die Mission abschließen.
MC_MOTION_BUTTON_OVER_MSG	Diese Option ist erst ab dem 2. Stern verfügbar.
MC_POLY_BUTTON_OVER_MSG	Diese Option ist erst ab dem 3. Stern verfügbar.
MC_POLY_FAIL	Du kannst dich jetzt nicht verwandeln.
MC_POLY_QUESTION	Möchtest du dich in dieses Monster verwandeln?
MC_PROMOTION_MAX	Eine Verbesserung ist nicht mehr möglich.
MC_PROMOTION_QUESTION	Möchtest du die Stufe erhöhen?
MC_QUESTION_BUTTON_DESC1	Das Zurücksetzen ist nur 6 Mal innerhalb von 24 Stunden möglich.
MC_QUESTION_BUTTON_DESC2	Jede weitere Zurücksetzung benötigt mehr Karten des Neuanfangs.
MC_QUESTION_BUTTON_DESC3	Klicke hier, um die restliche Abklingzeit angezeigt zubekommen.
MC_REWARD_FAIL	Du hast nicht genügend Platz im Inventar.
MC_REWARD_MISSION	Möchtest du deine Monsterkarte jetzt erhalten?
MC_SHUFFLE_NO_ITEM	Du hast keine Karte der Neuordnung.
MC_TIME	Abklingzeit: %s
MC_TRADE_QUESTION	Es werden dir %d Karten abgezogen. Möchtest du fortfahren?
MC_USE_ITEM_FAIL	Diese Karte kann nicht hinzugefügt werden.
MC_USE_ITEM_QUESTION	Möchtest du diese Monsterkarte hinzufügen?
MC_WARP_BUTTON_OVER_MSG	Diese Option ist erst ab dem 4. Stern verfügbar.
MC_WARP_FAIL	Du kannst dich nicht mehr teleportieren.
MC_WARP_LIMIT_LEVEL	Dein aktuelles Level reicht nicht aus um zu teleportieren.
MC_WARP_QUESTION	Möchtest du dich in das Gebiet dieses Monsters teleportieren?
MD_POPUP_MSG_1	Du kannst nur vom Zodiak-Tempel aus eintreten.
MD_POPUP_MSG_2	Die Zodiak-Wächter müssen ihre Macht regenierieren.\nGib ihnen etwas Zeit.
MD_SYSTEM_MSG_1	Du bist kein Zombie. Du kannst nicht kämpfen, während du tot bist.
MEDAL_OF_HONOR	Tapferkeitsmedaille
MEDAL_OF_HONOR_SYSTEM_PICK	Erhaltener Gegenstand: Tapferkeitsmedaille x %d
MESSENGER_ADD_BLOCK_FRIEND	Hinzufügen
MESSENGER_ADD_FRIEND	Freund hinzufügen
MESSENGER_BLOCK	Blockiert
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s hat dich als Freund aufgenommen.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Annehmen?
MESSENGER_DO_YOU_DELETE	Löschen?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Möchtest du die Handynummer löschen?
MESSENGER_DO_YOU_MOVE	Möchtest du weiter?
MESSENGER_EMPTY_LIST	Leer
MESSENGER_FAMILY	Familie
MESSENGER_FRIEND	Freunde
MESSENGER_GUILD	Gilde
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Gib die Bestätigungsnr. ein, die an dein Handy gesendet wurde.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Bestätigungsnr. eingeben
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Gib die Handynr. für den SMS-Versand ein.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Möchtest du die Nummer jetzt eingeben?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Handynummer eingeben
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Nachricht senden.
METIN_TEST	GM TEST
MINIGAMEUI_CALENDAR	Eventkalender
MINIGAME_FISH_EVENT_ADD_ACCEPT	Willst du das hinzufügen?
MINIGAME_FISH_EVENT_DROP_ACCEPT	Willst du diesen Gegenstand wirklich fallen lassen?
MINIGAME_FISH_EVENT_REWARD_MSG	Du hast %s erhalten.
MINIGAME_FISH_EVENT_USE_ACCEPT	Willst du das verwenden?
MINIMAP	Minikarte öffnen
MINIMAP_CANNOT_SEE	Minikarte kann nicht angezeigt werden.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Übersichtskarte kann nicht angezeigt werden.
MINIMAP_DEC_SCALE	Herauszoomen
MINIMAP_INC_SCALE	Heranzoomen
MINIMAP_OBSERVER_COUNT	%d Zuschauer
MINIMAP_OPEN_INGAMEEVENT	Events
MINIMAP_SHOW_AREAMAP	Übersichtskarte öffnen
MINI_GAME_BNW_DONATE_QUESTION1	Möchtest du spenden?
MINI_GAME_BNW_DONATE_QUESTION2	Eine Spende verbraucht 15 Sehermünzen.
MINI_GAME_BNW_FONT	Arial:15
MINI_GAME_BNW_GAME_GIVEUP_MSG1	Möchtest du das Spiel wirklich abbrechen?
MINI_GAME_BNW_GAME_GIVEUP_MSG2	Denk daran, dass du Belohnungen erhältst, wenn du gewinnst.
MINI_GAME_BNW_GAME_RESULT_DRAW	Gleichstand! Du hast %d Sehermünze(n) erhalten.
MINI_GAME_BNW_GAME_RESULT_LOSE	Niederlage! Du hast %d Sehermünze(n) erhalten.
MINI_GAME_BNW_GAME_RESULT_SCORE	Endstand: %d
MINI_GAME_BNW_GAME_RESULT_WIN	Sieg! Du hast %d Sehermünze(n) erhalten.
MINI_GAME_BNW_NOT_ENOUGH_INVEN	Du hast nicht genügend Platz im Inventar.
MINI_GAME_BNW_NOT_ENOUGH_ITEM	Du benötigst zum Spielen ein Tarotkartenset.
MINI_GAME_BNW_NOT_ENOUGH_YANG	Du hast nicht genügend Yang, um das Spiel zu starten.
MINI_GAME_BNW_RESULT_DRAW1	Deine Zahl ist gleich groß.
MINI_GAME_BNW_RESULT_DRAW2	Gleichstand!
MINI_GAME_BNW_RESULT_LOSE1	Deine Zahl ist kleiner.
MINI_GAME_BNW_RESULT_LOSE2	Niederlage!
MINI_GAME_BNW_RESULT_WIN1	Deine Zahl ist größer.
MINI_GAME_BNW_RESULT_WIN2	Sieg!
MINI_GAME_BNW_START_QUESTION	Du benötigst zum Spielen 30.000 Yang und ein Tarotkartenset. Möchtest du am Wettstreit teilnehmen?
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP1	Setzt du mehrere %ss ein, erhältst du die gleiche Anzahl an Truhen als Gewinn.
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP2	Maximal %d Königsdecks als Einsatz möglich.
MINI_GAME_CATCHKING_HELP_MSG1	Schade! Der Wert deiner Karte ist niedriger.\nDu erhältst keine Punkte. Wähle ein neue Karte aus deinem Deck.
MINI_GAME_CATCHKING_HELP_MSG2	Gut gemacht! Die Karten haben den gleichen Wert.\n Dein Spielzug ist beendet. Wähle ein neue Karte aus deinem Deck.
MINI_GAME_CATCHKING_HELP_MSG3	Weiter so! Der Wert deiner Karte ist höher.\nDecke eine weitere Karte auf.
MINI_GAME_CATCHKING_HELP_MSG4	Eine [5] lag in Reichweite deiner aufgedeckten Karte.\nDu erhältst leider keine Punkte. Wähle nun deinen König [K].
MINI_GAME_CATCHKING_POPUP_CATCH_FAIL	Der König ist entkommen! Das Spiel ist nun beendet. \nHast du mindestens 10 Punkte erzielt, kannst du jetzt deinen Gewinn einlösen.
MINI_GAME_CATCHKING_POPUP_REWARD_FAIL	Du kannst keinen Gewinn einlösen.
MINI_GAME_CATCHKING_SEARCH_NUMBER5	Eine [5] ist in der Nähe.
MINI_GAME_CATCHKING_START_QUESTION	Für diese Runde wird dir abgezogen: %d Yang sowie %s: %d Stück\nMöchtest du jetzt spielen?
MINI_GAME_CATCHKING_TOOLTIP_CARD1	Kann folgende Karte fangen: [1]
MINI_GAME_CATCHKING_TOOLTIP_CARD2	Kann folgende Karten fangen: [1], [2]
MINI_GAME_CATCHKING_TOOLTIP_CARD3	Kann folgende Karten fangen: [1], [2], [3]
MINI_GAME_CATCHKING_TOOLTIP_CARD4	Kann folgende Karten fangen: [1], [2], [3], [4]
MINI_GAME_CATCHKING_TOOLTIP_CARD5	Kann folgende Karten fangen: [1], [2], [3], [4], [5].\nGrenzt eine weitere [5] an deiner aufgedeckten Karte an,\nwird der Spielzug beendet und du erhältst keine Punkte.
MINI_GAME_CATCHKING_TOOLTIP_CARD6	Kann folgende Karte fangen: [K]
MINI_GAME_CATCHKING_TOOLTIP_SCORE1	%s: 550 oder mehr
MINI_GAME_CATCHKING_TOOLTIP_SCORE2	%s: 400 ~ 549
MINI_GAME_CATCHKING_TOOLTIP_SCORE3	%s: 10 ~ 399
MINI_GAME_CATCHKING_TOOLTIP_SCORE4	Du erhältst 10 Extrapunkte, wenn du alle Karten einer Reihe aufdeckst.
MINI_GAME_GIVEUP_QUESTION	Möchtest du das Spiel wirklich abbrechen? Du verzichtest damit auf eine Belohnung.
MINI_GAME_NOTICE_1	Klicke "Werfen", um den Startspieler zu ermitteln.
MINI_GAME_NOTICE_10	Ha! Du hast den Computer rausgeworfen.
MINI_GAME_NOTICE_11	So ein Pech! Der Computer hat dich rausgeworfen.
MINI_GAME_NOTICE_12	Du hattest Yut oder Mo und darfst ein weiteres Mal werfen.
MINI_GAME_NOTICE_13	Das Spiel ist zu Ende. Hole deine Belohnung ab.
MINI_GAME_NOTICE_2	Yut-Stäbe werfen.
MINI_GAME_NOTICE_3	Computer wirft Yut-Stäbe, um den Startspieler zu ermitteln.
MINI_GAME_NOTICE_4	Computer hat den niedrigeren oder gleichwertigen Wurf und darf beginnen.
MINI_GAME_NOTICE_5	Du hast den niedrigeren Wurf und darfst beginnen.
MINI_GAME_NOTICE_6	Dein Wurf: %s. Ziehe %d Feld(er) vorwärts.
MINI_GAME_NOTICE_7	Dein Wurf: %s. Du musst 1 Feld zurück.
MINI_GAME_NOTICE_8	Wurf: %s
MINI_GAME_NOTICE_9	Der Computer ist am Zug.
MINI_GAME_RUMI_DISCARD_QUESTION	Willst du diese Karte wirklich wegwerfen?
MINI_GAME_RUMI_EXIT_QUESTION	Möchtest du deine Spielrunde beenden und deinen Gewinn erhalten?\nDeine Punkte und übrigen Karten werden dann zurückgesetzt!
MINI_GAME_RUMI_START_QUESTION	Um mitspielen zu können, musst du eine Gebühr von %d Yang zahlen. Des Weiteren benötigst du %d Kartenset(s).\nWillst du das Spiel starten?
MINI_GAME_YUTNORI_COM_WIN	Mal verliert man und mal gewinnen die anderen.
MINI_GAME_YUTNORI_PC_WIN	So sehen Sieger aus, schalalalala!
MINI_GAME_YUTNORI_PC_WIN_SCORE	Punktestand: %d
MINI_GAME_YUTNORI_RETHROW_BUTTON	Werfen
MINI_GAME_YUTNORI_RETHROW_POPUP	Glückspilz! Du bist noch einmal an der Reihe.
MINI_GAME_YUTNORI_SCORE_FONT	Tahoma:24b
MINI_GAME_YUTNORI_START_QUESTION	Um Yutnori zu starten, benötigst du %d Yang und %d Yutnori-Spielbrett. \n Jetzt spielen?
MINUTE	Min
MISTS_ISLAND_BUFF_MSG_01	Energie +2
MISTS_ISLAND_BUFF_MSG_02	Item-Droprate +10%
MISTS_ISLAND_BUFF_MSG_03	Stärke, Intelligenz, Vitalität, Beweglichkeit +3
MISTS_ISLAND_BUFF_MSG_04	Yang-Droprate +10%
MISTS_ISLAND_BUFF_MSG_05	Kostümboni um 3% erhöht
MISTS_ISLAND_INFO_01	Dein Level ist zu niedrig.
MISTS_ISLAND_INFO_02	Nicht genügend Yang.
MISTS_ISLAND_INFO_03	Momentan findet keine Schlacht statt.
MISTS_ISLAND_MSG_01	%s wurde von %s zerstört!
MISTS_ISLAND_MSG_02	%s hat %s erobert!
MISTS_ISLAND_MSG_03	%s hat %s besetzt!
MISTS_ISLAND_MSG_04	%s greift %s an!
MISTS_ISLAND_MSG_05	%s hat den %s erfolgreich auf Level %d verstärkt!
MISTS_ISLAND_MSG_06	%s ist auf dem Schlachtfeld erschienen!
MISTS_ISLAND_QUESTION_01	Möchtest du die Schlacht der fünf Schreine verlassen?
MISTS_ISLAND_QUESTION_02	Möchtest du zum kürzlich angegriffenen Schrein teleportieren? \n Kosten: %s Yang
MISTS_ISLAND_TOOLTIP_01	[%s]
MISTS_ISLAND_TOOLTIP_02	Besetzendes Reich: %s
MISTS_ISLAND_TOOLTIP_03	Verbesserungslevel: +%d
MISTS_ISLAND_TOOLTIP_04	Besetzungs-Buff: %s
MISTS_ISLAND_TOOLTIP_05	Eroberung der Schreine
MISTS_ISLAND_TOOLTIP_06	1. Um einen Schrein einzunehmen, muss er zunächst zerstört werden.
MISTS_ISLAND_TOOLTIP_07	2. Das Reich, das nach 1 Minute die meisten Mitglieder in der Nähe hat, erobert den Schrein.
MISTS_ISLAND_TOOLTIP_08	3. Nach 3 Minuten erscheint der Schrein in der Farbe des Reiches, das ihn erobert hat.
MISTS_ISLAND_TOOLTIP_09	4. Je länger ein Schrein unter der Kontrolle desselben Reiches steht, desto schwieriger lässt er sich zerstören.
MONETARY_UNIT0	Yang
MONETARY_UNIT1	zehntausend
MONETARY_UNIT2	hundert Millionen
MONEY_INPUT_DIALOG_SELLPRICE	Verkaufspreis:
MOVE_CHANNEL_99	CH0
MOVE_CHANNEL_CANCEL	Abbrechen
MOVE_CHANNEL_NOTICE	Du bist verbunden mit Channel %d.
MOVE_CHANNEL_NOT_MOVE	Du kannst deinen Channel nicht wechseln.
MOVE_CHANNEL_SELECT	OK
MOVE_CHANNEL_TITLE	Channel-Auswahl
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Du kannst keine Gegenstände verschieben, solange du einen privaten Laden geöffnet hast.
MUSIC_EMPTY_MUSIC_LIST	Keine Hintergrundmusik.
MUSIC_METIN2_DEFAULT_THEMA	Metin2-Standardmusik
MUSIC_NOT_SELECT_MUSIC	Keine Musikdatei ausgewählt.
NEEFD_REST	Du musst erst ausruhen.
NOT_YET_SUPPORT	Wird nicht unterstützt.
OPEN_THE_SPECIAL_ACTION_KIT	%s wurde den Emotionen hinzugefügt.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Du kannst den Gildenmodus nicht aktivieren, wenn du keiner Gilde angehörst.
OPTION_PVPMODE_NOT_SUPPORT	Du kannst die Konfiguration des PvP-Modus nicht verwenden.
OPTION_PVPMODE_PROTECT	Du musst mindestens Level %d erreicht haben, um den PvP-Modus zu ändern.
PARTY_ANSWER_TIMEOVER	Die Einladung wurde abgelehnt.
PARTY_BONUS_ATTACKER	Angriffswert: +%d	SA
PARTY_BONUS_BERSERKER	Angriffsgeschwindigkeit: +%d	SA
PARTY_BONUS_BUFFER	Fertigkeitsdauer: +%d	SA
PARTY_BONUS_DEFENDER	Verteidigung +%d%%	SA
PARTY_BONUS_EXP	Bonus-EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	TP-Wiederherstellung pro Kill +%d%%	SA
PARTY_BONUS_TANKER	Max. TP: +%d	SA
PARTY_BREAK_UP	Gruppe auflösen
PARTY_DO_YOU_ACCEPT	 möchte der Gruppe beitreten.
PARTY_DO_YOU_JOIN	 hat dich in seine Gruppe eingeladen. Annehmen?
PARTY_EXP_DISTRIBUTION_MODE	EXP-Verteilung
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	levelabhängig
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Gruppenmitglieder höherer Level erhalten mehr EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	gleichmäßig
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Alle Gruppenmitglieder erhalten gleich viele EXP.
PARTY_HEAL_ALL_MEMBER	Alles wiederherstellen
PARTY_INCREASE_AREA_150	Reichweite der Gruppe um Faktor 1,5 erhöht.	SNA
PARTY_INCREASE_AREA_200	Reichweite der Gruppe um Faktor 2 erhöht.	SNA
PARTY_LEAVE	Gruppe verlassen
PARTY_LONGTIME_BONUS_EXP	Bonus-EXP für langes Gruppenspiel: +%d%%	SA
PARTY_MATCH_CANCEL	Die Gruppensuche für [%s] wurde abgebrochen.
PARTY_MATCH_FAIL_FULL_MEMBER	Deine Gruppe kann kein Mitglied mehr aufnehmen.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	Du kannst dich für diesen Dungeon nicht anmelden.
PARTY_MATCH_FAIL_LEVEL	Dein Level ist zu niedrig.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	Mitglied %s erfüllt nicht die notwendigen Bedingungen.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	Bitte wähle zuerst einen Dungeon.
PARTY_MATCH_FAIL_NOT_LEADER	Nur der Gruppenanführer kann die Anmeldung durchführen.
PARTY_MATCH_FAIL_NO_ITEM	Du hast nicht genug %s.
PARTY_MATCH_SEARCHING	Suchen
PARTY_MATCH_START	Du hast deine Gruppe für folgenden Dungeon angemeldet: [%s]!
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Gruppenmitglied herbeirufen.
PARTY_REGEN_BONUS	Bonus für TP- + MP-Regeneration: +%d%%	SA
PARTY_REQUEST_DENIED	Deine Anfrage wurde abgelehnt.
PARTY_RK_CATEGORY_CZ_CHICKEN	Rangliste des Wächter Yu
PARTY_RK_CATEGORY_CZ_COW	Rangliste des Wächter Chou
PARTY_RK_CATEGORY_CZ_DOG	Rangliste des Wächter Xu
PARTY_RK_CATEGORY_CZ_DRAGON	Rangliste des Wächter Chen
PARTY_RK_CATEGORY_CZ_HORSE	Rangliste des Wächter Wu
PARTY_RK_CATEGORY_CZ_MONKEY	Rangliste des Wächter Shen
PARTY_RK_CATEGORY_CZ_MOUSE	Rangliste des Wächter Zi
PARTY_RK_CATEGORY_CZ_PIG	Rangliste des Wächter Hai
PARTY_RK_CATEGORY_CZ_RABBIT	Rangliste der Wächterin Mao
PARTY_RK_CATEGORY_CZ_SHEEP	Rangliste des Wächter Wei
PARTY_RK_CATEGORY_CZ_SNAKE	Rangliste der Wächterin Si
PARTY_RK_CATEGORY_CZ_TIGER	Rangliste des Wächter Yin
PARTY_SET_ATTACKER	Als Angreifer festlegen.
PARTY_SET_BERSERKER	Als Berserker festlegen.
PARTY_SET_BUFFER	Als Blocker festlegen.
PARTY_SET_DEFENDER	Als Verteidiger festlegen.
PARTY_SET_NORMAL	Einstellung widerrufen.
PARTY_SET_SKILL_MASTER	Als Fertigkeitsmeister festlegen.
PARTY_SET_TANKER	Als Nahkämpfer festlegen.
PARTY_SKILL_ATTACKER	Basis-Angriffswert Angreifer +%.0f
PARTY_SKILL_BERSERKER	Angriffsgeschwindigkeit Berserker +%.0f
PARTY_SKILL_BUFFER	Fertigkeitsdauer Blocker +%.0f
PARTY_SKILL_DEFENDER	Verteidigung als Verteidiger +%.0f%%
PARTY_SKILL_HP_REGEN	TP-Regeneration +%.0f%%
PARTY_SKILL_PARTY_AREA	Gruppenreichweite +%d%%
PARTY_SKILL_SKILL_MASTER	TP-Regeneration als Fertigkeitsmeister +%.0f%%
PARTY_SKILL_SP_REGEN	MP-Regeneration +%.0f%%
PARTY_SKILL_TANKER	Max. TP Nahkämpfer +%.0f
PARTY_SKILL_WARP	In der Lage, Gruppenmitglieder herbeizurufen.
PASSIVE_ATTR_ADD_FAIL	Fehlschlag! Die Boni wurden nicht auf das Seelenrelikt übertragen.
PASSIVE_ATTR_ADD_FAIL_MAX_ATTR	Das Seelenrelikt kann keine weiteren Boni aufnehmen.
PASSIVE_ATTR_ADD_FAIL_NOT_ENOUGH_JOB_ITEM	Du benötigst dazu ein Seelenrelikt für deine Klasse.
PASSIVE_ATTR_ADD_SUCCESS	Erfolg! Die Boni wurden auf das Seelenrelikt übertragen.
PASSIVE_ATTR_CHARGE_FAIL_FULL_TIME	Das Seelenrelikt ist bereits aufgeladen.
PASSIVE_ATTR_CHARGE_FAIL_NOT_ENOUGH_JOB_ITEM	Es muss kein Seelenrelikt aufgeladen werden.
PASSIVE_ATTR_CHARGE_QUESTION	Möchtest du das Seelenrelikt aufladen?
PASSIVE_ATTR_CHARGE_SUCCESS_MSG	Die Reliktzeit wurde vollständig aufgeladen.
PASSIVE_ATTR_CONTROL_FAIL_MSG	Während der Aktivierung kannst du das nicht tun.
PASSIVE_ATTR_COOLTIME_FAIL_MSG	Bitte versuche es später nochmal.
PASSIVE_ATTR_NOT_ENOUGH_SUB_ITEM	Du benötigst dazu eine passende Seele.
PASSIVE_JOB_ACTIVATE_FAIL_NOT_FOUND_ITEM	Du benötigst dazu ein Seelenrelikt für deine Klasse.
PASSIVE_JOB_DESTROY_POPUP	Wenn du das Seelenrelikt ablegst, wird es zerstört. Bist du sicher?
PASSIVE_JOB_FIRST_ACTIVATE_POPUP1	Nach der Aktivierung kannst du das Relikt nicht mehr weitergeben.
PASSIVE_JOB_FIRST_ACTIVATE_POPUP2	Die Gegenstände gehen dabei verloren. Bist du sicher?
PASSIVE_JOB_LEFT_TIME	Verbleibende Zeit: %s
PASSIVE_JOB_MAX_TIME	Maximale Reliktzeit: %s
PASSWORD_TITLE	Lagerkennwort
PET_ATTR_CHANGE_DIALOG_TEXT	Möchtest du die Attribute deines Pets jetzt ändern?\n Das Item "Pet verzaubern" wird dabei verbraucht.\n Der Prozess kann fehlschlagen.
PET_ATTR_CHANGE_USE	Während die Pet-Attribute gewandelt werden, kann diese Aktion nicht ausgeführt werden.
PET_ATTR_DETERMINE_TYPE1	Pettyp 1: tollpatschig. Nicht besonders stark.\nMit der Zeit kannst du seine Fähigkeiten steigern.
PET_ATTR_DETERMINE_TYPE2	Pettyp 2: neugierig. Nicht besonders stark.\nTreuer Gefährte, dessen Fähigkeiten mit der Zeit wachsen.
PET_ATTR_DETERMINE_TYPE3	Pettyp 3: beherzt. Mäßig stark.\nMit der Zeit kannst du seine Fähigkeiten steigern.
PET_ATTR_DETERMINE_TYPE4	Pettyp 4: mutig. Mäßig stark.\nTreuer Gefährte, dessen Fähigkeiten mit der Zeit noch wachsen.
PET_ATTR_DETERMINE_TYPE5	Pettyp 5: tollkühn. Stark.\nMit der Zeit kannst du seine Fähigkeiten weiter steigern.
PET_ATTR_DETERMINE_TYPE6	Pettyp 6: legendär. Stark.\nTreuer Gefährte, dessen Fähigkeiten mit der Zeit sogar noch wachsen.
PET_ATTR_DETERMINE_TYPE7	Pettyp 7: mythisch. Sehr stark.\nWird mit der Zeit sein volles Potenzial entfalten.
PET_ATTR_DETERMINE_TYPE8	Pettyp 8: prismatisch. Extrem stark.\nTreuer Gefährte, auf den du dich verlassen kannst.
PET_BAG_DESC	%s
PET_CANNOT_FEED_CUBEOPEN	Du kannst dein Pet nicht füttern, während das Veredelungsfenster geöffnet ist.
PET_CAN_NOT_ATTRCHANGE_BECUASE_LIFE_TIME_END	Du kannst die Attribute eines toten Pets nicht wandeln.
PET_CAN_NOT_EGG_ITEM_USE	Du kannst den Brutkasten nicht öffnen, während du handelst, dein Lager oder einen privaten Laden geöffnet hast.
